Agent Name,Rating,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Blinkit,3.3,31,Kolkata,Electronics,Neutral,High,No,Out of Stock,2,Incorrect
JioMart,1.3,57,Chennai,Pharmacy,Neutral,Low,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,4,59,Lucknow,Electronics,Neutral,Medium,No,Out of Stock,3,Incorrect
Zepto,1.5,33,Lucknow,Pharmacy,Neutral,Medium,No,Out of Stock,3,Incorrect
Blinkit,4.8,50,Chennai,Grocery,Neutral,Low,No,Out of Stock,3,Incorrect
Blinkit,2.9,39,Ahmedabad,Electronics,Neutral,Medium,Yes,In Stock,4,Correct
Swiggy Instamart,2.2,26,Kolkata,Electronics,Neutral,Medium,Yes,In Stock,5,Incorrect
Swiggy Instamart,1.2,20,Ahmedabad,Grocery,Neutral,Low,No,Out of Stock,4,Incorrect
JioMart,4,53,Lucknow,Pharmacy,Neutral,Low,Yes,Out of Stock,5,Incorrect
Zepto,2.2,34,Hyderabad,Pharmacy,Positive,Low,No,Out of Stock,1,Incorrect
Zepto,4.5,58,Jaipur,Essentials,Negative,Medium,Yes,In Stock,2,Incorrect
Blinkit,3,31,Kolkata,Electronics,Neutral,Medium,No,In Stock,2,Correct
Swiggy Instamart,3.2,49,Pune,Food,Neutral,High,Yes,Out of Stock,1,Correct
Blinkit,4.1,34,Delhi,Electronics,Negative,Medium,Yes,Out of Stock,4,Incorrect
Blinkit,3.2,20,Delhi,Food,Negative,Medium,No,Out of Stock,1,Correct
Blinkit,5,40,Ahmedabad,Essentials,Neutral,High,No,In Stock,2,Incorrect
Blinkit,1.4,30,Ahmedabad,Pharmacy,Positive,Medium,No,In Stock,5,Correct
Blinkit,2,46,Mumbai,Essentials,Positive,High,Yes,In Stock,5,Incorrect
JioMart,4.7,22,Lucknow,Electronics,Neutral,High,Yes,In Stock,1,Correct
Swiggy Instamart,2.8,51,Ahmedabad,Electronics,Positive,Medium,No,In Stock,2,Correct
JioMart,1.4,55,Delhi,Grocery,Positive,High,Yes,Out of Stock,2,Incorrect
Zepto,2.9,36,Jaipur,Food,Positive,Low,Yes,Out of Stock,2,Correct
Swiggy Instamart,1.8,23,Lucknow,Electronics,Neutral,High,Yes,In Stock,4,Correct
Zepto,3.9,19,Pune,Grocery,Neutral,Medium,No,Out of Stock,4,Correct
Zepto,3.8,30,Mumbai,Pharmacy,Positive,High,Yes,In Stock,1,Incorrect
Swiggy Instamart,3.5,22,Delhi,Grocery,Neutral,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,2,38,Kolkata,Pharmacy,Positive,High,No,In Stock,1,Incorrect
Blinkit,2.5,52,Pune,Pharmacy,Positive,Medium,No,Out of Stock,3,Incorrect
Blinkit,3,47,Delhi,Electronics,Neutral,High,No,In Stock,4,Correct
Blinkit,4.9,21,Bangalore,Food,Neutral,High,No,Out of Stock,5,Incorrect
Swiggy Instamart,2.7,10,Hyderabad,Essentials,Neutral,High,No,In Stock,1,Incorrect
Zepto,4.8,32,Hyderabad,Pharmacy,Positive,High,Yes,Out of Stock,2,Incorrect
Zepto,3.4,60,Ahmedabad,Pharmacy,Positive,High,Yes,In Stock,2,Correct
Blinkit,2.4,35,Bangalore,Electronics,Negative,High,Yes,Out of Stock,2,Correct
Blinkit,3.3,41,Hyderabad,Essentials,Positive,High,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,3.6,33,Bangalore,Electronics,Negative,High,Yes,In Stock,5,Incorrect
JioMart,2,23,Kolkata,Electronics,Negative,High,No,In Stock,5,Correct
Swiggy Instamart,1.7,16,Jaipur,Essentials,Neutral,High,No,In Stock,2,Correct
Swiggy Instamart,5,47,Delhi,Grocery,Neutral,Medium,Yes,In Stock,1,Incorrect
JioMart,4.2,24,Kolkata,Essentials,Neutral,Low,Yes,Out of Stock,1,Correct
Blinkit,2.5,15,Bangalore,Food,Negative,Medium,No,In Stock,2,Incorrect
Blinkit,2.4,43,Pune,Food,Neutral,Low,Yes,Out of Stock,1,Correct
JioMart,3.8,31,Bangalore,Electronics,Positive,Medium,No,In Stock,1,Correct
Blinkit,3,42,Jaipur,Pharmacy,Negative,Low,No,Out of Stock,1,Incorrect
Blinkit,3.3,31,Delhi,Pharmacy,Positive,High,No,Out of Stock,5,Incorrect
Swiggy Instamart,1.4,57,Jaipur,Essentials,Negative,High,Yes,Out of Stock,4,Correct
JioMart,3.7,54,Pune,Essentials,Neutral,Low,No,In Stock,2,Incorrect
JioMart,2.2,40,Lucknow,Food,Neutral,Medium,Yes,In Stock,2,Incorrect
Swiggy Instamart,4,34,Mumbai,Electronics,Negative,High,Yes,In Stock,5,Correct
Swiggy Instamart,2.1,48,Mumbai,Food,Positive,High,Yes,In Stock,4,Correct
Zepto,4.9,15,Pune,Grocery,Neutral,Low,Yes,Out of Stock,3,Incorrect
Zepto,2.7,48,Bangalore,Food,Positive,Low,No,Out of Stock,5,Correct
Zepto,3.1,46,Kolkata,Essentials,Positive,High,No,In Stock,1,Correct
JioMart,3.3,57,Mumbai,Grocery,Neutral,Medium,No,In Stock,5,Correct
Zepto,4.1,49,Kolkata,Electronics,Neutral,Low,No,Out of Stock,2,Correct
Zepto,2.7,43,Bangalore,Essentials,Neutral,Low,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,3.1,13,Chennai,Electronics,Negative,Low,Yes,In Stock,4,Incorrect
Zepto,4.2,39,Jaipur,Food,Positive,Low,No,Out of Stock,4,Incorrect
Zepto,2.1,53,Jaipur,Food,Neutral,High,Yes,In Stock,2,Correct
Swiggy Instamart,2.1,36,Hyderabad,Essentials,Negative,Medium,No,In Stock,4,Incorrect
Blinkit,1.6,11,Bangalore,Essentials,Negative,Low,Yes,In Stock,5,Correct
Blinkit,2.3,56,Hyderabad,Essentials,Neutral,Medium,No,In Stock,2,Correct
Blinkit,1.8,42,Ahmedabad,Pharmacy,Neutral,Low,Yes,In Stock,5,Incorrect
JioMart,3.5,31,Delhi,Pharmacy,Negative,High,No,In Stock,1,Incorrect
Blinkit,4.7,23,Lucknow,Grocery,Negative,Medium,No,In Stock,3,Correct
Blinkit,3.4,31,Chennai,Grocery,Positive,Low,No,Out of Stock,3,Incorrect
Zepto,4.4,11,Kolkata,Essentials,Positive,High,Yes,Out of Stock,2,Correct
Blinkit,4.1,16,Chennai,Pharmacy,Positive,High,Yes,Out of Stock,1,Correct
JioMart,2.4,41,Ahmedabad,Essentials,Negative,High,Yes,Out of Stock,4,Incorrect
Blinkit,3.4,55,Ahmedabad,Essentials,Positive,Medium,Yes,Out of Stock,3,Correct
Zepto,3.8,58,Hyderabad,Pharmacy,Positive,High,No,In Stock,3,Incorrect
Swiggy Instamart,2.4,30,Mumbai,Pharmacy,Positive,Low,No,In Stock,4,Correct
Swiggy Instamart,2.7,15,Pune,Electronics,Neutral,Low,Yes,In Stock,1,Correct
Blinkit,1.2,42,Lucknow,Grocery,Neutral,Medium,No,In Stock,3,Incorrect
Zepto,4.8,55,Pune,Grocery,Neutral,Medium,No,Out of Stock,3,Correct
Blinkit,3.8,18,Jaipur,Essentials,Neutral,Low,Yes,Out of Stock,2,Incorrect
Blinkit,1.5,32,Jaipur,Grocery,Negative,Low,No,Out of Stock,2,Correct
JioMart,2.5,10,Lucknow,Grocery,Negative,Low,Yes,In Stock,4,Correct
JioMart,2.1,26,Hyderabad,Essentials,Neutral,Low,Yes,In Stock,2,Correct
Swiggy Instamart,4.7,49,Lucknow,Grocery,Positive,Low,Yes,In Stock,3,Correct
Swiggy Instamart,3.7,35,Pune,Food,Negative,Medium,Yes,In Stock,1,Correct
JioMart,3.8,22,Mumbai,Food,Neutral,Low,Yes,Out of Stock,4,Correct
Zepto,1,33,Hyderabad,Food,Negative,High,Yes,Out of Stock,2,Correct
Zepto,2.2,45,Pune,Grocery,Positive,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,2.8,39,Bangalore,Grocery,Positive,High,Yes,Out of Stock,4,Correct
JioMart,4.7,25,Pune,Electronics,Positive,High,No,In Stock,2,Correct
Blinkit,1.7,27,Lucknow,Grocery,Negative,High,No,In Stock,5,Correct
JioMart,3,21,Delhi,Electronics,Neutral,High,No,Out of Stock,5,Incorrect
Swiggy Instamart,3.6,37,Chennai,Pharmacy,Negative,Medium,Yes,Out of Stock,5,Correct
JioMart,2.5,41,Hyderabad,Electronics,Neutral,High,Yes,In Stock,1,Correct
Zepto,1.4,12,Jaipur,Pharmacy,Negative,High,No,In Stock,3,Correct
Blinkit,1.5,12,Chennai,Electronics,Positive,Medium,No,Out of Stock,1,Correct
Zepto,3.4,41,Delhi,Electronics,Positive,High,No,Out of Stock,2,Incorrect
Swiggy Instamart,4.9,49,Pune,Food,Negative,High,No,In Stock,4,Incorrect
Zepto,3.3,33,Jaipur,Grocery,Positive,Low,No,In Stock,3,Incorrect
Zepto,2.9,34,Bangalore,Essentials,Negative,Medium,Yes,In Stock,1,Correct
Zepto,4.8,30,Jaipur,Essentials,Neutral,Medium,Yes,In Stock,2,Incorrect
Swiggy Instamart,2,13,Hyderabad,Grocery,Positive,High,No,In Stock,2,Incorrect
Swiggy Instamart,1.7,12,Jaipur,Electronics,Negative,Low,No,In Stock,1,Correct
Swiggy Instamart,1.2,57,Delhi,Essentials,Positive,High,No,Out of Stock,4,Incorrect
Zepto,3.4,26,Ahmedabad,Grocery,Negative,Medium,Yes,Out of Stock,5,Incorrect
Swiggy Instamart,4.2,40,Ahmedabad,Food,Positive,Low,No,In Stock,2,Incorrect
Blinkit,2.6,48,Kolkata,Grocery,Positive,Low,Yes,In Stock,5,Incorrect
Blinkit,1.1,36,Chennai,Essentials,Neutral,Low,Yes,In Stock,1,Correct
Blinkit,1.7,27,Delhi,Food,Positive,Medium,No,In Stock,3,Correct
JioMart,2.6,49,Ahmedabad,Food,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,4.2,27,Jaipur,Grocery,Neutral,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,3,34,Kolkata,Essentials,Negative,Medium,Yes,Out of Stock,2,Incorrect
JioMart,1.5,40,Kolkata,Electronics,Neutral,Medium,Yes,In Stock,1,Correct
Zepto,5,14,Pune,Food,Neutral,Medium,No,Out of Stock,4,Correct
Swiggy Instamart,2.6,43,Mumbai,Grocery,Negative,Medium,No,In Stock,4,Incorrect
Swiggy Instamart,4.5,38,Lucknow,Electronics,Negative,High,Yes,Out of Stock,1,Correct
JioMart,4.2,31,Jaipur,Pharmacy,Positive,Low,Yes,In Stock,2,Incorrect
Swiggy Instamart,2.2,29,Lucknow,Electronics,Negative,Low,Yes,Out of Stock,1,Correct
Swiggy Instamart,4.2,10,Mumbai,Electronics,Negative,Low,Yes,Out of Stock,5,Correct
JioMart,3.1,19,Lucknow,Essentials,Neutral,Low,No,Out of Stock,2,Incorrect
Swiggy Instamart,4,14,Lucknow,Electronics,Neutral,Low,Yes,Out of Stock,4,Incorrect
Blinkit,4.8,30,Kolkata,Pharmacy,Neutral,High,No,Out of Stock,4,Incorrect
JioMart,2.1,21,Delhi,Essentials,Positive,High,No,In Stock,3,Incorrect
Swiggy Instamart,4.7,29,Chennai,Essentials,Neutral,Medium,No,Out of Stock,4,Correct
Zepto,2.1,21,Hyderabad,Electronics,Negative,Medium,No,In Stock,5,Correct
Zepto,4.2,32,Pune,Food,Positive,Low,No,In Stock,5,Correct
Blinkit,3.7,53,Delhi,Essentials,Positive,Medium,Yes,In Stock,2,Correct
Blinkit,4.4,23,Delhi,Essentials,Negative,High,No,Out of Stock,1,Correct
Blinkit,2.9,14,Jaipur,Pharmacy,Positive,Low,No,Out of Stock,2,Incorrect
Zepto,1,18,Bangalore,Grocery,Negative,High,Yes,Out of Stock,1,Incorrect
JioMart,4.9,60,Lucknow,Pharmacy,Neutral,Medium,No,Out of Stock,4,Incorrect
Swiggy Instamart,3.2,41,Ahmedabad,Electronics,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.8,39,Mumbai,Food,Positive,Low,No,Out of Stock,3,Correct
Swiggy Instamart,4,53,Chennai,Essentials,Neutral,Low,No,In Stock,4,Correct
Zepto,2.2,35,Ahmedabad,Pharmacy,Positive,Medium,No,Out of Stock,5,Correct
Zepto,2.6,18,Kolkata,Food,Neutral,Medium,Yes,Out of Stock,4,Correct
Zepto,1.4,46,Kolkata,Essentials,Neutral,Low,No,In Stock,1,Correct
Zepto,3.8,42,Pune,Essentials,Negative,Medium,No,Out of Stock,2,Incorrect
Swiggy Instamart,2.6,37,Ahmedabad,Pharmacy,Positive,Low,No,Out of Stock,4,Incorrect
Zepto,2.8,24,Kolkata,Food,Neutral,Low,Yes,Out of Stock,4,Incorrect
Zepto,1,15,Mumbai,Essentials,Neutral,Low,No,Out of Stock,3,Incorrect
JioMart,5,51,Lucknow,Essentials,Neutral,Low,Yes,In Stock,4,Incorrect
JioMart,1.7,20,Pune,Pharmacy,Negative,Medium,Yes,Out of Stock,2,Correct
Blinkit,2.5,35,Pune,Electronics,Positive,High,No,Out of Stock,1,Correct
JioMart,2.3,20,Jaipur,Grocery,Neutral,High,Yes,Out of Stock,4,Incorrect
Blinkit,3.7,60,Chennai,Food,Positive,High,No,Out of Stock,5,Incorrect
JioMart,3.5,19,Chennai,Grocery,Neutral,Medium,No,In Stock,5,Incorrect
Zepto,1.6,16,Kolkata,Grocery,Negative,Low,Yes,Out of Stock,5,Incorrect
Blinkit,3.8,20,Hyderabad,Essentials,Negative,High,Yes,In Stock,3,Correct
Blinkit,4.5,35,Mumbai,Pharmacy,Neutral,Low,Yes,Out of Stock,1,Correct
Swiggy Instamart,1.9,21,Bangalore,Grocery,Negative,High,Yes,Out of Stock,1,Correct
Zepto,4.5,42,Bangalore,Food,Positive,Medium,Yes,In Stock,4,Incorrect
Swiggy Instamart,2.4,17,Ahmedabad,Electronics,Negative,Low,Yes,In Stock,2,Correct
Swiggy Instamart,3.4,59,Hyderabad,Pharmacy,Negative,High,No,Out of Stock,2,Correct
JioMart,4.2,45,Kolkata,Essentials,Negative,Medium,Yes,Out of Stock,1,Correct
Swiggy Instamart,1.4,40,Kolkata,Essentials,Positive,Medium,Yes,Out of Stock,1,Incorrect
JioMart,1,36,Kolkata,Pharmacy,Neutral,Low,Yes,In Stock,2,Incorrect
Swiggy Instamart,3.1,48,Bangalore,Electronics,Negative,High,Yes,In Stock,4,Incorrect
Zepto,3.1,16,Jaipur,Food,Neutral,Low,No,In Stock,1,Correct
Blinkit,3.7,50,Bangalore,Grocery,Neutral,Low,Yes,Out of Stock,5,Correct
Zepto,4.4,53,Kolkata,Electronics,Neutral,Medium,Yes,Out of Stock,3,Incorrect
Zepto,1.9,54,Bangalore,Essentials,Neutral,High,No,Out of Stock,2,Correct
JioMart,3.4,48,Mumbai,Electronics,Positive,High,Yes,In Stock,5,Correct
Swiggy Instamart,2.8,54,Mumbai,Food,Positive,High,Yes,In Stock,1,Correct
Blinkit,2.1,24,Delhi,Grocery,Positive,Medium,No,In Stock,1,Incorrect
JioMart,1.2,46,Lucknow,Pharmacy,Neutral,Medium,No,Out of Stock,1,Correct
Blinkit,3.1,32,Mumbai,Pharmacy,Negative,Low,Yes,In Stock,2,Incorrect
Blinkit,1.1,29,Pune,Electronics,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,1.6,27,Chennai,Food,Neutral,High,No,In Stock,1,Correct
Zepto,2.8,15,Bangalore,Essentials,Negative,Medium,No,In Stock,3,Correct
JioMart,2.7,40,Pune,Food,Negative,Low,Yes,In Stock,3,Correct
Blinkit,4.1,24,Chennai,Food,Positive,High,No,In Stock,1,Incorrect
Swiggy Instamart,5,17,Kolkata,Electronics,Neutral,Low,No,In Stock,2,Correct
JioMart,4.2,55,Kolkata,Grocery,Neutral,Medium,Yes,Out of Stock,5,Incorrect
Swiggy Instamart,2.5,56,Kolkata,Food,Negative,Medium,Yes,Out of Stock,2,Correct
Swiggy Instamart,3.4,45,Jaipur,Grocery,Negative,High,No,Out of Stock,3,Incorrect
Blinkit,1.5,21,Kolkata,Food,Negative,Low,Yes,In Stock,4,Incorrect
Blinkit,3.5,20,Mumbai,Food,Negative,Low,Yes,In Stock,2,Correct
Swiggy Instamart,2.2,34,Bangalore,Pharmacy,Negative,Low,Yes,In Stock,5,Correct
Swiggy Instamart,4.5,48,Pune,Essentials,Positive,Low,No,Out of Stock,1,Incorrect
Blinkit,2.2,38,Lucknow,Pharmacy,Positive,Medium,Yes,Out of Stock,1,Incorrect
JioMart,3.2,55,Hyderabad,Pharmacy,Negative,High,No,In Stock,3,Incorrect
Swiggy Instamart,2.7,40,Bangalore,Food,Positive,Medium,Yes,In Stock,1,Correct
Swiggy Instamart,2.6,35,Ahmedabad,Essentials,Negative,High,No,Out of Stock,3,Incorrect
Zepto,3.1,52,Ahmedabad,Food,Negative,Medium,Yes,Out of Stock,2,Incorrect
JioMart,4.9,12,Jaipur,Essentials,Negative,Low,Yes,In Stock,2,Correct
Blinkit,3.7,37,Kolkata,Essentials,Neutral,Low,No,In Stock,4,Correct
Swiggy Instamart,4.1,26,Mumbai,Grocery,Neutral,High,No,In Stock,4,Correct
Zepto,1.3,30,Bangalore,Essentials,Neutral,Low,No,In Stock,2,Incorrect
Swiggy Instamart,3.3,11,Bangalore,Food,Negative,Medium,No,Out of Stock,3,Incorrect
Zepto,3.2,42,Jaipur,Essentials,Positive,Low,No,In Stock,2,Incorrect
JioMart,4.2,34,Ahmedabad,Grocery,Neutral,Low,No,Out of Stock,1,Correct
JioMart,4,47,Pune,Electronics,Negative,Low,No,Out of Stock,5,Correct
Blinkit,2.3,44,Chennai,Electronics,Negative,High,Yes,Out of Stock,4,Correct
Swiggy Instamart,3.6,53,Delhi,Food,Positive,Low,Yes,In Stock,3,Correct
Zepto,2.1,18,Ahmedabad,Food,Neutral,High,Yes,In Stock,5,Correct
Swiggy Instamart,2.9,17,Pune,Pharmacy,Neutral,High,No,In Stock,1,Correct
JioMart,3.3,60,Kolkata,Pharmacy,Positive,High,No,Out of Stock,4,Correct
Blinkit,2.2,55,Lucknow,Grocery,Neutral,Low,No,Out of Stock,4,Correct
Blinkit,1.7,45,Delhi,Electronics,Positive,Low,No,In Stock,5,Incorrect
Blinkit,1.9,21,Pune,Essentials,Positive,High,Yes,In Stock,2,Correct
Blinkit,1.8,55,Hyderabad,Grocery,Positive,High,Yes,Out of Stock,1,Incorrect
Blinkit,4.8,16,Jaipur,Electronics,Positive,Medium,Yes,Out of Stock,4,Correct
JioMart,2.3,37,Chennai,Grocery,Negative,Low,No,In Stock,3,Correct
Swiggy Instamart,3.8,17,Jaipur,Electronics,Positive,Low,Yes,Out of Stock,1,Correct
Blinkit,1.5,38,Jaipur,Essentials,Positive,Medium,No,In Stock,5,Correct
Swiggy Instamart,4.1,53,Pune,Grocery,Positive,High,Yes,Out of Stock,2,Correct
Zepto,2.4,17,Mumbai,Electronics,Positive,High,No,In Stock,2,Incorrect
Zepto,2.7,57,Ahmedabad,Grocery,Negative,High,No,In Stock,3,Incorrect
Zepto,4.2,24,Kolkata,Food,Negative,Low,No,Out of Stock,3,Correct
Swiggy Instamart,2.2,35,Lucknow,Essentials,Neutral,High,No,Out of Stock,1,Correct
Blinkit,4.1,50,Kolkata,Electronics,Neutral,Low,Yes,In Stock,1,Incorrect
Zepto,4.7,29,Pune,Essentials,Positive,Medium,Yes,In Stock,2,Correct
JioMart,3,51,Hyderabad,Grocery,Positive,Medium,No,In Stock,1,Incorrect
JioMart,4.9,55,Delhi,Grocery,Positive,Medium,No,In Stock,4,Incorrect
Blinkit,1.6,54,Bangalore,Essentials,Neutral,High,No,In Stock,1,Correct
Zepto,3.4,31,Jaipur,Pharmacy,Positive,High,Yes,Out of Stock,1,Correct
Blinkit,1.1,43,Pune,Essentials,Positive,High,Yes,In Stock,4,Correct
Zepto,2.9,34,Lucknow,Essentials,Neutral,Medium,No,Out of Stock,2,Incorrect
JioMart,4.8,34,Ahmedabad,Pharmacy,Positive,High,Yes,In Stock,1,Incorrect
Zepto,4.3,18,Lucknow,Food,Neutral,Low,Yes,In Stock,4,Incorrect
Zepto,2.9,22,Kolkata,Essentials,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,3.2,32,Mumbai,Electronics,Neutral,High,No,In Stock,2,Incorrect
Zepto,2,60,Lucknow,Pharmacy,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,3,18,Chennai,Grocery,Neutral,High,No,In Stock,5,Correct
Swiggy Instamart,4.2,49,Ahmedabad,Essentials,Negative,Low,No,In Stock,5,Correct
JioMart,3.8,44,Lucknow,Electronics,Positive,High,No,In Stock,4,Correct
JioMart,2.4,19,Mumbai,Electronics,Negative,Medium,Yes,Out of Stock,2,Incorrect
JioMart,4.5,15,Pune,Electronics,Positive,High,Yes,Out of Stock,2,Correct
Swiggy Instamart,3.6,53,Pune,Electronics,Negative,Low,Yes,In Stock,5,Incorrect
Zepto,3.6,42,Lucknow,Electronics,Neutral,High,No,Out of Stock,4,Correct
Swiggy Instamart,3.9,49,Bangalore,Essentials,Negative,High,No,Out of Stock,3,Incorrect
Blinkit,1.4,24,Bangalore,Food,Positive,High,Yes,In Stock,1,Incorrect
Zepto,1.6,56,Kolkata,Electronics,Positive,Medium,Yes,Out of Stock,2,Incorrect
Zepto,4.9,20,Mumbai,Grocery,Positive,High,No,In Stock,1,Incorrect
Zepto,4.1,41,Pune,Pharmacy,Neutral,Low,No,In Stock,5,Incorrect
Zepto,1.7,10,Ahmedabad,Grocery,Positive,Low,No,In Stock,5,Correct
Blinkit,1.8,39,Lucknow,Pharmacy,Neutral,Medium,Yes,Out of Stock,1,Incorrect
JioMart,2.7,50,Delhi,Pharmacy,Positive,Low,No,In Stock,4,Incorrect
Zepto,2.2,26,Kolkata,Food,Negative,Medium,No,Out of Stock,4,Incorrect
Swiggy Instamart,3,49,Chennai,Pharmacy,Negative,Medium,Yes,Out of Stock,5,Incorrect
Blinkit,4.4,22,Pune,Essentials,Neutral,Low,No,Out of Stock,5,Incorrect
Swiggy Instamart,2.3,54,Mumbai,Electronics,Negative,Medium,No,In Stock,3,Correct
JioMart,4.4,53,Delhi,Electronics,Positive,Low,No,Out of Stock,4,Correct
JioMart,2.5,50,Hyderabad,Essentials,Positive,Low,No,Out of Stock,1,Correct
Zepto,3.4,56,Kolkata,Essentials,Negative,Low,Yes,In Stock,2,Incorrect
Blinkit,1,48,Kolkata,Food,Negative,Low,No,In Stock,3,Incorrect
Blinkit,2.2,20,Pune,Electronics,Neutral,High,Yes,In Stock,1,Incorrect
Zepto,3.3,11,Chennai,Food,Negative,Low,No,Out of Stock,5,Incorrect
Swiggy Instamart,2,60,Ahmedabad,Grocery,Positive,Low,No,Out of Stock,4,Correct
Blinkit,1.2,19,Jaipur,Food,Neutral,High,No,In Stock,3,Correct
JioMart,2.2,12,Pune,Food,Positive,Medium,Yes,Out of Stock,1,Correct
Zepto,2.1,32,Kolkata,Food,Negative,Medium,No,In Stock,2,Incorrect
Blinkit,4.9,19,Delhi,Electronics,Neutral,Medium,Yes,Out of Stock,3,Incorrect
JioMart,4.5,26,Chennai,Pharmacy,Neutral,High,Yes,In Stock,3,Correct
Swiggy Instamart,4.4,42,Hyderabad,Pharmacy,Negative,Medium,Yes,In Stock,3,Incorrect
Swiggy Instamart,2.7,46,Delhi,Essentials,Neutral,Low,No,In Stock,3,Incorrect
Blinkit,1.1,11,Hyderabad,Grocery,Neutral,High,Yes,Out of Stock,2,Incorrect
Zepto,4.6,15,Delhi,Pharmacy,Negative,High,No,Out of Stock,4,Correct
Swiggy Instamart,2,37,Jaipur,Essentials,Neutral,Medium,No,In Stock,1,Correct
JioMart,4,28,Chennai,Food,Neutral,High,No,In Stock,2,Incorrect
Swiggy Instamart,2,45,Hyderabad,Food,Negative,High,Yes,In Stock,1,Correct
Swiggy Instamart,3.5,27,Kolkata,Grocery,Positive,Medium,No,Out of Stock,2,Incorrect
Blinkit,1.2,16,Mumbai,Food,Positive,Low,No,In Stock,2,Correct
Zepto,2,60,Bangalore,Pharmacy,Neutral,High,Yes,In Stock,4,Correct
Blinkit,1.9,36,Hyderabad,Grocery,Positive,Medium,No,In Stock,5,Correct
Blinkit,4.9,45,Jaipur,Food,Negative,Medium,Yes,Out of Stock,4,Correct
Zepto,1.2,54,Bangalore,Pharmacy,Neutral,High,No,In Stock,5,Correct
JioMart,4.2,55,Kolkata,Food,Neutral,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.4,44,Pune,Electronics,Negative,Low,No,Out of Stock,3,Incorrect
Swiggy Instamart,1.4,30,Jaipur,Electronics,Negative,Low,No,In Stock,5,Incorrect
Swiggy Instamart,1.5,60,Bangalore,Essentials,Negative,High,Yes,Out of Stock,4,Incorrect
Zepto,4.5,23,Bangalore,Essentials,Negative,High,Yes,In Stock,5,Correct
Swiggy Instamart,1.4,21,Mumbai,Grocery,Positive,Low,Yes,In Stock,4,Correct
Swiggy Instamart,5,26,Kolkata,Essentials,Negative,Low,No,Out of Stock,5,Correct
Zepto,3.7,22,Mumbai,Food,Neutral,High,No,Out of Stock,4,Correct
Zepto,4.8,40,Pune,Electronics,Neutral,High,Yes,Out of Stock,5,Incorrect
JioMart,2.9,16,Pune,Grocery,Neutral,Medium,Yes,In Stock,4,Incorrect
Swiggy Instamart,2.6,58,Kolkata,Electronics,Positive,Low,No,In Stock,4,Correct
Zepto,1.9,57,Delhi,Pharmacy,Positive,Medium,Yes,Out of Stock,4,Correct
JioMart,2.2,19,Jaipur,Essentials,Positive,High,Yes,Out of Stock,3,Incorrect
Zepto,5,31,Kolkata,Pharmacy,Neutral,High,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,1.2,29,Lucknow,Electronics,Neutral,High,No,In Stock,4,Incorrect
Blinkit,3.8,19,Bangalore,Food,Neutral,Medium,Yes,Out of Stock,4,Correct
Blinkit,4.8,35,Jaipur,Food,Positive,Medium,No,In Stock,1,Correct
Blinkit,1.2,20,Mumbai,Grocery,Neutral,Medium,No,In Stock,4,Correct
Swiggy Instamart,1.7,30,Ahmedabad,Food,Negative,Low,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,1.7,49,Lucknow,Food,Negative,Low,No,Out of Stock,2,Incorrect
Swiggy Instamart,3,28,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,5,Correct
Zepto,3.7,25,Delhi,Grocery,Neutral,Medium,Yes,Out of Stock,5,Incorrect
Zepto,2.6,45,Bangalore,Pharmacy,Negative,Medium,Yes,Out of Stock,5,Incorrect
Zepto,1.5,50,Lucknow,Electronics,Positive,Low,No,In Stock,2,Incorrect
Swiggy Instamart,2.8,24,Pune,Grocery,Positive,High,No,In Stock,3,Correct
Zepto,3.1,22,Lucknow,Pharmacy,Neutral,High,Yes,In Stock,2,Incorrect
JioMart,2.7,28,Kolkata,Grocery,Neutral,Medium,No,Out of Stock,1,Incorrect
JioMart,4.8,47,Ahmedabad,Essentials,Neutral,Low,No,Out of Stock,4,Correct
Swiggy Instamart,2.6,47,Bangalore,Pharmacy,Negative,Low,Yes,Out of Stock,1,Correct
Swiggy Instamart,4.7,47,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,3,Incorrect
JioMart,1.1,13,Hyderabad,Electronics,Positive,Low,No,Out of Stock,1,Correct
Zepto,4.3,46,Chennai,Essentials,Negative,High,Yes,Out of Stock,4,Correct
JioMart,3,30,Pune,Electronics,Positive,Medium,Yes,Out of Stock,1,Correct
JioMart,1.8,25,Chennai,Grocery,Positive,Low,No,In Stock,2,Incorrect
Blinkit,4.3,45,Hyderabad,Grocery,Negative,High,Yes,Out of Stock,4,Incorrect
